Thumbnails,Title,Quantity,SKU,Category,SubCategory
https://lh3.googleusercontent.com/d/1scV-2p0cNbCph3pRCPrE_UEtXYRBSOX8,Sim Mom (Leslie),1,108,Simulators,Adult
https://lh3.googleusercontent.com/d/1Hjh5HTxH8vuyGQ_Dlwz3WgTp9YbWBYZy,Sim Mom (Theresa),1,109,Simulators,Adult
https://lh3.googleusercontent.com/d/1CkDG4P5wRlIHMJPJ0RKxOj1djhLeooXs,Sim Baby (Simone DS),,104,Simulators,Infant
https://lh3.googleusercontent.com/d/1iLyPOkvcPVuGLfEOfbnCgMBEdEeq7PfX,Sim Junior (Goldy),,106,Simulators,Child
https://lh3.googleusercontent.com/d/1CxAet1qU_wqxwG3jgkd_yKpYPV9jhj5Q,Sim Junior (Jackie),,106,Simulators,Child
https://lh3.googleusercontent.com/d/12uGjdWibYnHaKWhU8EWbzk2xLqu_VaQo,Sim Newbie Classic (Greg),,110,Simulators,Infant
https://lh3.googleusercontent.com/d/1Nc0_jH-dRw_hHbS3yMKcLEggD31TdbVh,Sim Baby Classic (TDB),,105,Simulators,Infant
https://lh3.googleusercontent.com/d/1Lni1T2zLqgKkb_7ouUtznDvaHwm3DFvW,HAL 5 (Lefty),,102,Simulators,Child
https://lh3.googleusercontent.com/d/1r_Iqw4b8uhLkckAWSqZJQQX5BAyhEO_G,HAL 1 (Max),,101,Simulators,Child
https://lh3.googleusercontent.com/d/1QQYqk2_9QgI4T4hypG4LgUZhzxH9GIsk,HAL 1 (Frank),,101,Simulators,Child
https://lh3.googleusercontent.com/d/1qZEDKL3qUInoW8qOod1WhlJfMpzEp_i8,Premie HAL (Peter),,103,Simulators,Infant
https://lh3.googleusercontent.com/d/1c5vDmTrVrCk999NJSbxU4AVvIzfCbaXd,TraumaMan w/Surgical Abdomen,,207,Task Trainers,Multiple
https://lh3.googleusercontent.com/d/1_G4JeZDpTtK5_k4J-Hww8Qnc8P_EtohA,STGC-01,,811,All,Carts
https://lh3.googleusercontent.com/d/1_G4JeZDpTtK5_k4J-Hww8Qnc8P_EtohA,STGC-02,,811,All,Carts
https://lh3.googleusercontent.com/d/1_G4JeZDpTtK5_k4J-Hww8Qnc8P_EtohA,STGC-03,,811,All,Carts
https://lh3.googleusercontent.com/d/1_G4JeZDpTtK5_k4J-Hww8Qnc8P_EtohA,STGC-04,1,811,All,Carts
https://lh3.googleusercontent.com/d/1kqmEur3WdkKcys8kACvulQSbK2d09eeT,FFMC-01,,305,Task Trainers,Carts
https://lh3.googleusercontent.com/d/1kqmEur3WdkKcys8kACvulQSbK2d09eeT,FFMC-02,,305,Task Trainers,Carts
https://lh3.googleusercontent.com/d/1ZYw4j3oghsMCPTjhrPEB1iOfhHixghMg,CPRC-01,,304,Task Trainers,Carts
https://lh3.googleusercontent.com/d/1ZYw4j3oghsMCPTjhrPEB1iOfhHixghMg,CPRC-02,,304,Task Trainers,Carts
https://lh3.googleusercontent.com/d/1ZYw4j3oghsMCPTjhrPEB1iOfhHixghMg,CPRC-03,,304,Task Trainers,Carts
https://lh3.googleusercontent.com/d/1ZYw4j3oghsMCPTjhrPEB1iOfhHixghMg,CPRC-04,,304,Task Trainers,Carts
https://lh3.googleusercontent.com/d/13FcipOnARQfY2glOkE1iFgfWHP4tQdyN,IO Kit-01,,306,Task Trainers,Circulation
